author;prize;short;long;;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Владимир Шаров;1;1;0;;0;0;5;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;;0;0;5;5;5;5;5;5;15;15;15;15;15;15;15;15;15;15;
Александр Архангельский;1;0;0;;0;0;1;1;0;0;0;1;0;0;1;0;10;0;0;0;1;0;;0;0;1;2;2;2;2;3;3;3;4;4;14;14;14;14;15;15;
Александр Терехов;1;1;0;;0;0;0;10;0;0;0;5;0;0;0;0;0;0;0;0;0;0;;0;0;0;10;10;10;10;15;15;15;15;15;15;15;15;15;15;15;
Мария Галина;0;3;0;;0;0;0;5;0;0;5;0;0;0;5;0;0;0;0;0;0;0;;0;0;0;5;5;5;10;10;10;10;15;15;15;15;15;15;15;15;
Михаил Гиголашвили;0;3;0;;0;0;0;0;5;0;0;0;0;0;0;5;0;0;0;5;0;0;;0;0;0;0;5;5;5;5;5;5;5;10;10;10;10;15;15;15;
Кучерская Майя;1;1;0;;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;10;0;0;;0;0;0;0;0;0;0;5;5;5;5;5;5;5;5;15;15;15;
Ермаков Олег;0;2;0;;0;0;0;0;0;0;0;0;0;1;0;1;5;1;0;0;5;1;;0;0;0;0;0;0;0;0;0;1;1;2;7;8;8;8;13;14;
Василий Авченко;0;2;0;;0;0;0;0;1;0;0;0;0;0;1;0;0;0;5;0;1;5;;0;0;0;0;1;1;1;1;1;1;2;2;2;2;7;7;8;13;
Сергей Шаргунов;1;0;0;;0;0;0;0;0;1;0;0;1;0;0;10;1;0;0;0;0;0;;0;0;0;0;0;1;1;1;2;2;2;12;13;13;13;13;13;13;
Попов Евгений;1;0;0;;0;0;0;0;0;0;10;1;0;0;0;0;0;0;0;0;1;1;;0;0;0;0;0;0;10;11;11;11;11;11;11;11;11;11;12;13;
Максим Кантор;0;2;0;;5;0;0;0;1;0;0;5;0;0;1;0;0;0;0;0;0;0;;5;5;5;5;6;6;6;11;11;11;12;12;12;12;12;12;12;12;
Борис Евсеев;0;2;0;;1;0;0;5;5;0;0;0;0;0;0;1;0;0;0;0;0;0;;1;1;1;6;11;11;11;11;11;11;11;12;12;12;12;12;12;12;
Букша Ксения;0;2;0;;0;0;0;0;0;0;0;0;5;0;0;0;1;1;5;0;0;0;;0;0;0;0;0;0;0;0;5;5;5;5;6;7;12;12;12;12;
Макушинский Алексей;0;2;0;;0;0;0;0;0;0;0;0;5;0;0;0;1;0;5;0;1;0;;0;0;0;0;0;0;0;0;5;5;5;5;6;6;11;11;12;12;
Борис Васильев;1;0;0;;1;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;1;1;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;
Людмила Сараскина;1;0;0;;0;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;0;10;10;10;10;11;11;11;11;11;11;11;11;11;11;11;11;
Рустам Рахматуллин;1;0;0;;0;0;10;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;10;10;11;11;11;11;11;11;11;11;11;11;11;11;11;11;
Андрей Дмитриев;0;2;0;;0;0;1;0;0;0;5;0;0;0;0;0;0;0;0;5;0;0;;0;0;1;1;1;1;6;6;6;6;6;6;6;6;6;11;11;11;
Андрей Балдин;0;2;0;;0;0;0;5;5;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;5;10;10;11;11;11;11;11;11;11;11;11;11;11;11;
Сергей Солоух;0;2;0;;0;0;0;0;0;5;0;0;0;0;5;0;0;0;0;0;1;0;;0;0;0;0;0;5;5;5;5;5;10;10;10;10;10;10;11;11;
Даниил Гранин;1;0;0;;0;0;0;0;0;1;10;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;1;11;11;11;11;11;11;11;11;11;11;11;11;
Тимур Кибиров;1;0;0;;0;0;0;0;0;1;0;0;0;0;0;0;0;0;10;0;0;0;;0;0;0;0;0;1;1;1;1;1;1;1;1;1;11;11;11;11;
Виктория Токарева;1;0;0;;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;1;;0;0;0;0;0;0;0;0;0;0;0;10;10;10;10;10;10;11;
Наум Коржавин;1;0;0;;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;
Алексей Иванов;0;2;0;;5;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;;5;5;5;5;5;5;5;5;5;5;10;10;10;10;10;10;10;10;
Андрей Битов;1;0;0;;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;
Валентин Распутин;1;0;0;;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;
Илья Кормильцев;1;0;0;;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;
Александр Солженицын;1;0;0;;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;
Антон Павлович Чехов;1;0;0;;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;10;10;10;10;10;10;10;10;10;10;10;10;10;10;
Питер Мейер;1;0;0;;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;10;10;10;10;10;10;10;10;10;10;10;10;10;
Фазиль Искандер;1;0;0;;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;10;10;10;10;10;10;10;10;10;10;10;10;10;
Степнова Марина;1;0;0;;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;10;10;10;10;10;10;10;10;10;10;10;10;
Галлимар Антуан;1;0;0;;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;10;10;10;10;10;10;10;10;10;10;10;10;
Григоренко Александр;0;2;0;;0;0;0;0;0;0;5;0;5;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;5;5;10;10;10;10;10;10;10;10;10;10;
Евгений Евтушенко;1;0;0;;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;10;10;10;10;10;10;10;10;10;10;10;
Чижов Евгений;0;2;0;;0;0;0;0;0;0;0;0;5;0;0;0;0;0;5;0;0;0;;0;0;0;0;0;0;0;0;5;5;5;5;5;5;10;10;10;10;
Залотуха Валерий;1;0;0;;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;10;10;10;10;10;10;10;10;10;
Телеканал ВГТРК;1;0;0;;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;10;10;10;10;10;10;10;10;10;
Международная ярмарка интеллектуальной литературы «Non/fiction»;1;0;0;;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;10;10;10;10;10;10;10;10;
Мария Степанова;1;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;10;10;10;10;10;10;
Людмила Петрушевская;1;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;10;10;10;10;10;10;
Евгения Лисицина;1;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;10;10;10;10;10;10;
Олег Лекманов;1;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;10;10;10;
Михаил Свердлов;1;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;10;10;10;
Илья Симановский;1;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;10;10;10;
Григорий Служитель;1;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;10;10;10;
Мария Лебедева;1;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;10;10;10;
Михаил Сеславинский;1;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;10;10;
